"ComputerName","CollectionTime","CPU Name","Defaut Gateway","DHCP Enabled","DHCP Lease Expires","DHCP Lease Obtained","DHCP Server","DNS Hostname","DNS Servers","IP Addresses","MAC Address","NIC Description","Search Domains","Subnet masks","RAM Capacity","RAM Manufacturer","RAM PartNumber","RAM SerialNumber","RAM Speed","OS Architecture","OS Build Number","OS Caption","OS Free Memory (GB)","OS Last Boot Up Time","OS Total Memory (GB)","OS Version"
"winsrv02","11/12/2025 9:57:40 AM","QEMU Virtual CPU version 2.5+","10.101.1.1","True","11/13/2025 8:15:18 AM","11/12/2025 8:15:18 AM","10.101.1.1","WinSrv02","10.101.59.66","10.101.7.6, fe80::9d18:5ac6:b8ed:fc1c","BC:24:11:BD:DE:88","Red Hat VirtIO Ethernet Adapter","sko.butik","255.255.0.0, 64","8","QEMU",,,,"64-bit","20348","Microsoft Windows Server 2022 Standard Evaluation","6.21254348754883","11/11/2025 9:18:29 AM","7.9790153503418","10.0.20348"
"WIN-PH6NQ0JNGS4","11/12/2025 9:57:41 AM","QEMU Virtual CPU version 2.5+","10.101.1.1","True","11/13/2025 8:11:09 AM","11/12/2025 8:11:09 AM","10.101.1.1","WIN-PH6NQ0JNGS4","127.0.0.1","10.101.59.66, fe80::fd6d:1c82:f452:40cc","BC:24:11:6F:D5:80","Red Hat VirtIO Ethernet Adapter","sko.butik","255.255.0.0, 64","8","QEMU",,,,"64-bit","20348","Microsoft Windows Server 2022 Standard Evaluation","5.34336853027344","11/11/2025 9:17:47 AM","7.9790153503418","10.0.20348"
